ID	CONTROL_TYPE	miRNA_ID	GENE_NAME	ACCESSION_STRING	CHROMOSOMAL_LOCATION	SPOT_ID
A_25_P00010152	5.371851954
A_25_P00010151	5.39822575
A_25_P00010956	5.601309743
A_25_P00010957	5.543078295
A_25_P00010100	5.081012942
A_25_P00010099	5.006476547
A_25_P00010790	4.969583036
A_25_P00010792	5.187782016
A_25_P00010793	4.748920648
A_25_P00010791	5.11876008
A_25_P00010183	5.33588411
A_25_P00010182	5.88629041
A_25_P00010585	5.900430714
A_25_P00010586	5.506256241
A_25_P00010587	5.42773258
A_25_P00010385	5.210677608
A_25_P00010383	5.40372331
A_25_P00010384	5.481568697
A_25_P00010971	5.044628707
A_25_P00010408	5.812598863
A_25_P00010407	5.857223729
A_25_P00011073	5.271742514
A_25_P00011072	4.857843844
A_25_P00011074	5.33671567
A_25_P00010198	5.519806206
A_25_P00010199	5.49844301
A_25_P00010604	5.481938116
A_25_P00010605	5.392432027
A_25_P00010267	4.861869747
A_25_P00010269	5.006355287
A_25_P00010266	5.188643586
A_25_P00010268	5.118855402
A_25_P00010794	5.315465319
A_25_P00010795	5.306139372
A_25_P00010856	5.506943903
A_25_P00010857	5.474285898
A_25_P00010855	5.499252112
A_25_P00010858	7.525889235
A_25_P00010859	7.180453817
A_25_P00010651	5.337032381
A_25_P00010650	5.494818707
A_25_P00011109	7.934460082
A_25_P00011110	7.188898597
A_25_P00010860	5.117327892
A_25_P00010861	5.119239539
A_25_P00010862	5.272156322
A_25_P00010977	6.426493593
A_25_P00010978	5.964869075
A_25_P00010273	5.43956531
A_25_P00010272	5.235473659
A_25_P00011084	5.29426763
A_25_P00011083	5.448664578
A_25_P00010530	5.582287136
A_25_P00010532	5.600263344
A_25_P00010531	5.7925071
A_25_P00010356	5.045518475
A_25_P00010355	5.119585191
A_25_P00010354	4.821736444
A_25_P00010357	5.119538706
A_25_P00010158	5.410064848
A_25_P00010159	5.02607687
A_25_P00010443	5.007239096
A_25_P00010441	5.120100044
A_25_P00010442	5.007170664
A_25_P00010444	5.045838922
A_25_P00010220	5.272556264
A_25_P00010222	5.157741866
A_25_P00010221	5.272192882
A_25_P00010219	5.157880537
A_25_P00010776	5.190519674
A_25_P00010774	5.139341799
A_25_P00010775	5.272611856
A_25_P00010972	5.295022232
A_25_P00010014	10.36304693
A_25_P00010015	7.425597305
A_25_P00010924	7.269734225
A_25_P00010925	7.268865552
A_25_P00010686	5.064331336
A_25_P00010684	5.120736434
A_25_P00010685	5.295126441
A_25_P00010581	5.19142337
A_25_P00010579	5.295206994
A_25_P00010582	5.191434552
A_25_P00010580	5.249562142
A_25_P00011223	5.007571767
A_25_P00010009	5.507540735
A_25_P00011940	5.393725293
A_25_P00010008	5.523790154
A_25_P00011396	5.12099611
A_25_P00010765	5.04632691
A_25_P00011397	5.046657883
A_25_P00010766	5.121214622
A_25_P00010594	5.782391903
A_25_P00010595	5.524658332
A_25_P00010335	5.366319599
A_25_P00010337	5.12200828
A_25_P00010336	5.36635969
A_25_P00010431	6.029221254
A_25_P00010432	5.758695586
A_25_P00010361	5.426145568
A_25_P00010360	5.27273785
A_25_P00010707	5.046868838
A_25_P00010706	5.366567546
A_25_P00010708	4.934764789
A_25_P00010644	7.972351701
A_25_P00010645	7.702847358
A_25_P00010091	5.366742702
A_25_P00010092	5.351225709
A_25_P00010090	5.295942133
A_25_P00010113	5.761598031
A_25_P00010114	5.516780189
A_25_P00011119	5.08429163
A_25_P00011120	5.084358816
A_25_P00010829	5.158370505
A_25_P00010830	5.273276918
A_25_P00010508	5.435198955
A_25_P00010507	5.319023624
A_25_P00011027	5.43556242
A_25_P00011026	5.538986883
A_25_P00010094	5.250223648
A_25_P00010093	5.192830701
A_25_P00010672	5.690910442
A_25_P00010673	5.667669466
A_25_P00010117	5.595785105
A_25_P00010119	5.523812442
A_25_P00010118	5.544975324
A_25_P00010120	5.193287846
A_25_P00010098	11.44167642
A_25_P00010097	8.377812242
A_25_P00010017	5.335289284
A_25_P00010018	5.176055195
A_25_P00010721	5.0086627
A_25_P00010720	4.970693813
A_25_P00010130	7.479809209
A_25_P00010129	6.369124171
A_25_P00010687	5.668317951
A_25_P00010688	5.707304918
A_25_P00011108	5.123065567
A_25_P00011107	5.009298041
A_25_P00010502	6.02413196
A_25_P00010501	5.551496924
A_25_P00011043	5.638828781
A_25_P00011042	5.678111455
A_25_P00011044	5.607922204
A_25_P00011045	5.655575209
A_25_P00010959	5.24829016
A_25_P00010958	5.36740801
A_25_P00010657	5.847267058
A_25_P00010658	5.570698015
A_25_P00010418	5.086392572
A_25_P00010417	5.194503412
A_25_P00010726	5.194854041
A_25_P00010727	5.048251532
A_25_P00010725	5.250995856
A_25_P00010724	5.009436472
A_25_P00011036	5.194880722
A_25_P00011038	5.105216586
A_25_P00011037	5.123458274
A_25_P00011111	5.195483009
A_25_P00011114	4.898905132
A_25_P00011112	5.009673635
A_25_P00011113	5.12387504
A_25_P00011040	5.195525293
A_25_P00011041	5.122096503
A_25_P00011039	5.25148388
A_25_P00011035	5.608220452
A_25_P00011034	5.602263529
A_25_P00011105	5.658061551
A_25_P00011106	5.675132621
A_25_P00011061	5.048749811
A_25_P00011062	4.862813373
A_25_P00011063	5.12416087
A_25_P00011060	5.124367123
A_25_P00010709	5.552163946
A_25_P00010710	5.525465352
A_25_P00010693	4.971358661
A_25_P00010694	5.068202099
A_25_P00010413	8.992096242
A_25_P00010414	8.304964302
A_25_P00010624	4.899502459
A_25_P00010625	5.04976725
A_25_P00010622	5.195815008
A_25_P00010623	5.050411883
A_25_P00010260	5.029533294
A_25_P00010261	5.285847846
A_25_P00010499	5.011555986
A_25_P00010500	4.952521445
A_25_P00010233	5.196068685
A_25_P00010235	5.239672955
A_25_P00010234	5.159953277
A_25_P00010036	5.504540845
A_25_P00010035	5.445171231
A_25_P00010352	5.125795117
A_25_P00010351	5.051262391
A_25_P00010353	5.01167135
A_25_P00010052	5.126004764
A_25_P00010051	5.351856573
A_25_P00011941	5.347340381
A_25_P00011215	5.368090224
A_25_P00010168	4.972453212
A_25_P00010167	5.296838383
A_25_P00011008	5.049620162
A_25_P00011009	5.224434444
A_25_P00010244	5.05170585
A_25_P00010245	5.087754585
A_25_P00010488	5.161931677
A_25_P00010487	4.973361005
A_25_P00010498	5.252947474
A_25_P00010496	6.771570484
A_25_P00010497	5.777585674
A_25_P00010803	5.107553038
A_25_P00010804	5.162301337
A_25_P00010177	5.031466355
A_25_P00010176	4.95432625
A_25_P00011028	5.179123346
A_25_P00011029	5.320022995
A_25_P00010359	5.814492408
A_25_P00010358	5.543631621
A_25_P00010890	5.179245942
A_25_P00010889	5.143962268
A_25_P00010011	5.127849296
A_25_P00010010	4.954478649
A_25_P00010428	5.163350607
A_25_P00010427	4.88283942
A_25_P00010174	5.070567972
A_25_P00010175	5.128316728
A_25_P00010165	5.067336605
A_25_P00010166	5.0530574
A_25_P00010697	5.637190363
A_25_P00010695	5.548858963
A_25_P00010696	5.501427556
A_25_P00010201	4.974666011
A_25_P00010200	5.106885617
A_25_P00010329	5.227346147
A_25_P00010328	5.360311471
A_25_P00010565	5.313340412
A_25_P00010563	5.445789175
A_25_P00010564	5.395870293
A_25_P00010080	5.144862816
A_25_P00010081	5.200064318
A_25_P00010075	5.319999231
A_25_P00010074	5.277481135
A_25_P00010494	5.180617724
A_25_P00010495	5.369390947
A_25_P00010561	5.369758193
A_25_P00010560	5.340459804
A_25_P00010562	5.334917433
A_25_P00011217	5.109351473
A_25_P00011942	5.264937882
A_25_P00010170	5.161035343
A_25_P00010171	5.200679663
A_25_P00010169	5.089558972
A_25_P00010294	5.10964817
A_25_P00010293	5.071996327
A_25_P00010172	5.129703558
A_25_P00010173	5.070556047
A_25_P00010050	5.165610949
A_25_P00010049	5.240640387
A_25_P00010567	5.130532835
A_25_P00010568	5.145860072
A_25_P00010566	5.30097098
A_25_P00010291	5.110549233
A_25_P00010292	4.957543105
A_25_P00010717	5.300996581
A_25_P00010715	5.263579678
A_25_P00010716	5.301003727
A_25_P00010330	5.181432591
A_25_P00010331	5.370700563
A_25_P00010812	5.054815832
A_25_P00010811	4.979212773
A_25_P00010334	5.865287859
A_25_P00010333	5.597620489
A_25_P00010332	5.544858282
A_25_P00010059	5.778165578
A_25_P00010058	5.178395117
A_25_P00010060	5.320643788
A_25_P00010784	5.016185525
A_25_P00010783	5.131107523
A_25_P00010057	5.255764735
A_25_P00010056	5.37091975
A_25_P00010055	5.071642613
A_25_P00010327	5.558721586
A_25_P00010325	5.526235163
A_25_P00010326	5.66071069
A_25_P00010270	5.914572176
A_25_P00010271	5.617980959
A_25_P00010147	5.255925393
A_25_P00010149	5.275500387
A_25_P00010150	5.22606747
A_25_P00010148	5.370994446
A_25_P00011126	5.342253602
A_25_P00011127	5.2890422
A_25_P00011125	5.491432256
A_25_P00010647	5.311862777
A_25_P00010646	5.513493067
A_25_P00010312	5.090785516
A_25_P00010309	4.977795575
A_25_P00010310	5.090758333
A_25_P00010311	4.977877163
A_25_P00010477	5.353004627
A_25_P00010476	5.01264992
A_25_P00010479	5.056085541
A_25_P00010478	5.302780971
A_25_P00010747	5.090977472
A_25_P00010748	5.012813038
A_25_P00010746	5.056282041
A_25_P00010749	4.864812274
A_25_P00010122	5.091287047
A_25_P00010124	5.132523603
A_25_P00010123	5.132659597
A_25_P00010121	4.86490975
A_25_P00010742	5.303056821
A_25_P00010743	5.132966865
A_25_P00010741	4.978303131
A_25_P00010740	5.132986529
A_25_P00010737	5.056849349
A_25_P00010736	5.013732062
A_25_P00010739	4.830896983
A_25_P00010738	5.091290662
A_25_P00010366	4.978641894
A_25_P00010365	5.202426976
A_25_P00010367	5.133507343
A_25_P00010364	5.056969048
A_25_P00010448	5.162677678
A_25_P00010447	5.256912856
A_25_P00010449	5.147064716
A_25_P00011474	4.937165332
A_25_P00011638	4.978871302
A_25_P00011473	5.013905975
A_25_P00011471	5.091588355
A_25_P00010648	4.9968348
A_25_P00010649	4.980234068
A_25_P00011121	5.057479789
A_25_P00011479	5.133970419
A_25_P00011480	5.01424206
A_25_P00011481	5.257084741
A_25_P00011220	5.134350406
A_25_P00011221	4.980368339
A_25_P00011219	4.9059661
A_25_P00011222	5.202816396
A_25_P00011289	4.831193763
A_25_P00011287	4.906490953
A_25_P00011288	4.980534066
A_25_P00011593	4.831492058
A_25_P00011320	4.83166492
A_25_P00011319	4.865382666
A_25_P00011601	4.980840095
A_25_P00011318	5.05761901
A_25_P00011340	5.014243458
A_25_P00010518	5.091655926
A_25_P00011339	4.981060711
A_25_P00010517	5.203052107
A_25_P00010344	6.286399666
A_25_P00010345	6.156441724
A_25_P00010452	5.134763603
A_25_P00011605	4.981187604
A_25_P00011326	5.134839827
A_25_P00011325	4.832383174
A_25_P00011643	5.135097738
A_25_P00011642	4.981321812
A_25_P00011131	5.20318778
A_25_P00011132	5.13525168
A_25_P00010863	6.540513769
A_25_P00010865	7.387741503
A_25_P00010864	6.225287316
A_25_P00011294	4.981519248
A_25_P00011595	4.981616348
A_25_P00011295	5.05872089
A_25_P00011296	5.014728767
A_25_P00011388	4.907915518
A_25_P00011390	4.86580046
A_25_P00011389	5.014820906
A_25_P00011391	4.908160774
A_25_P00011629	5.058891716
A_25_P00011425	4.90820815
A_25_P00011426	4.981745542
A_25_P00011427	5.163229735
A_25_P00010786	5.941650832
A_25_P00010785	5.833690698
A_25_P00010787	5.960531273
A_25_P00010005	8.913295111
A_25_P00010007	5.538823789
A_25_P00010006	6.905533125
A_25_P00010946	5.3977286
A_25_P00011458	5.737566972
A_25_P00010945	5.534757845
A_25_P00011457	5.559554475
A_25_P00010942	5.058988111
A_25_P00010944	5.203935667
A_25_P00010943	5.092126323
A_25_P00010941	5.257797962
A_25_P00010933	4.984250153
A_25_P00010934	4.984099799
A_25_P00011596	4.90928017
A_25_P00010313	5.16333416
A_25_P00011297	4.981901944
A_25_P00011298	5.05995856
A_25_P00011463	4.981920129
A_25_P00011466	4.938459881
A_25_P00011464	4.981963837
A_25_P00011637	4.938585221
A_25_P00010632	5.098240013
A_25_P00010633	5.076234595
A_25_P00011096	8.95270786
A_25_P00011095	8.298988991
A_25_P00011097	5.978674037
A_25_P00011367	4.982505479
A_25_P00011366	4.938773502
A_25_P00011364	5.060577771
A_25_P00011618	4.982483817
A_25_P00010930	6.005746232
A_25_P00010932	5.719405222
A_25_P00010931	5.762908768
A_25_P00010810	10.47169873
A_25_P00010808	9.809251912
A_25_P00010809	9.905333914
A_25_P00011607	5.060726971
A_25_P00011334	4.938924296
A_25_P00011331	5.205148708
A_25_P00011333	5.136633841
A_25_P00010514	5.061042623
A_25_P00011251	4.834743885
A_25_P00011250	5.015131476
A_25_P00011249	5.061412664
A_25_P00011586	5.06130197
A_25_P00011321	4.836016717
A_25_P00011958	5.061554795
A_25_P00011323	5.061603034
A_25_P00011322	5.061566593
A_25_P00011353	4.983265844
A_25_P00011614	5.061942344
A_25_P00011354	5.137221405
A_25_P00011355	4.983369425
A_25_P00011284	4.836352351
A_25_P00011592	4.911145819
A_25_P00011285	4.983607017
A_25_P00011283	5.137237856
A_25_P00010411	5.243686277
A_25_P00010412	5.114858948
A_25_P00010893	5.4761466
A_25_P00010892	5.689843825
A_25_P00010891	5.657135874
A_25_P00010635	6.218771582
A_25_P00010634	6.201492814
A_25_P00010636	6.224860011
A_25_P00010962	4.925584191
A_25_P00010960	5.206788612
A_25_P00010961	5.305029152
A_25_P00011626	5.015511518
A_25_P00011418	4.912092199
A_25_P00011420	4.837581563
A_25_P00011419	5.092547896
A_25_P00011445	4.984309056
A_25_P00011447	4.912101203
A_25_P00011633	4.867208858
A_25_P00011446	5.228163463
A_25_P00011456	4.837900249
A_25_P00011454	5.092742759
A_25_P00011634	4.984667471
A_25_P00011455	4.912917868
A_25_P00011052	4.867372611
A_25_P00011051	4.838236246
A_25_P00011050	4.913065593
A_25_P00011049	5.092814114
A_25_P00010655	5.763499692
A_25_P00010654	5.447912006
A_25_P00010656	5.627151694
A_25_P00011252	4.984736573
A_25_P00011254	4.98498712
A_25_P00011587	5.063527293
A_25_P00011253	4.913363847
A_25_P00010207	5.063633122
A_25_P00010206	5.243984402
A_25_P00011406	4.985556074
A_25_P00011408	4.985555462
A_25_P00011409	4.762920605
A_25_P00011625	4.98587466
A_25_P00010346	5.598380378
A_25_P00010347	5.585559355
A_25_P00010348	5.448037791
A_25_P00011351	5.139713208
A_25_P00011350	5.484287171
A_25_P00011613	5.305135002
A_25_P00011352	5.092887153
A_25_P00011262	4.940483214
A_25_P00011259	5.139934997
A_25_P00011260	5.139916754
A_25_P00011261	4.868209624
A_25_P00011058	5.016348707
A_25_P00011059	4.927392856
A_25_P00011057	5.260085958
A_25_P00010948	5.064272765
A_25_P00011636	4.786408924
A_25_P00011462	5.093495894
A_25_P00011461	4.914036544
A_25_P00011376	4.839483224
A_25_P00011619	4.839247158
A_25_P00011377	4.839476287
A_25_P00011379	5.093591449
A_25_P00010641	6.137494959
A_25_P00010640	6.189058392
A_25_P00010642	6.250545221
A_25_P00010643	6.243569169
A_25_P00010872	5.719718655
A_25_P00010874	5.585677955
A_25_P00010873	5.714327944
A_25_P00011386	4.986524089
A_25_P00011384	4.787032863
A_25_P00011385	4.76499986
A_25_P00011387	5.064516007
A_25_P00010916	5.065025497
A_25_P00010915	5.164994009
A_25_P00010914	5.321885643
A_25_P00010397	5.433178167
A_25_P00010398	5.567671014
A_25_P00011603	4.868742032
A_25_P00011604	5.165061559
A_25_P00010435	5.093605533
A_25_P00010436	5.065249381
A_25_P00010935	5.065406309
A_25_P00011448	4.914458309
A_25_P00010936	4.987230547
A_25_P00011449	5.140476449
A_25_P00010265	5.136759457
A_25_P00010264	5.065780106
A_25_P00010362	5.373438785
A_25_P00011597	5.277303262
A_25_P00011304	5.260740686
A_25_P00011303	5.260640956
A_25_P00011023	5.884153578
A_25_P00011022	5.877314128
A_25_P00011025	5.91640728
A_25_P00011024	5.886221675
A_25_P00010901	5.207791109
A_25_P00010902	5.207759479
A_25_P00010903	5.23163646
A_25_P00011238	4.840000725
A_25_P00011239	4.720065583
A_25_P00011237	5.093821916
A_25_P00011236	5.343749156
A_25_P00011422	5.141651029
A_25_P00011627	4.915122985
A_25_P00011421	5.229090415
A_25_P00011628	5.066831673
A_25_P00010535	5.306896423
A_25_P00010534	5.353644293
A_25_P00010533	5.420603631
A_25_P00010374	5.539667812
A_25_P00010375	5.322214142
A_25_P00010377	4.941834503
A_25_P00010376	5.20797284
A_25_P00011240	5.067004766
A_25_P00011241	4.942057666
A_25_P00011585	4.915218364
A_25_P00011242	5.1420728
A_25_P00010772	5.539682818
A_25_P00010773	5.493304061
A_25_P00010771	5.508798056
A_25_P00011591	4.915251703
A_25_P00011282	5.067014298
A_25_P00011280	4.94207836
A_25_P00011281	4.942295975
A_25_P00011293	4.869739063
A_25_P00011291	4.987726711
A_25_P00011290	4.942583035
A_25_P00011594	4.840668746
A_25_P00010450	5.067400061
A_25_P00011599	4.870124923
A_25_P00011311	4.722237603
A_25_P00011312	4.915799825
A_25_P00011309	4.769694019
A_25_P00010807	6.150806735
A_25_P00010806	6.138757854
A_25_P00010805	6.144082438
A_25_P00010229	6.094716195
A_25_P00010226	5.966781327
A_25_P00010227	6.950989855
A_25_P00010228	6.180631441
A_25_P00011055	5.143436552
A_25_P00011054	5.308034935
A_25_P00011056	5.09408427
A_25_P00011053	5.067842508
A_25_P00010396	5.344075907
A_25_P00010395	5.540864984
A_25_P00011235	4.870378675
A_25_P00010095	4.988350882
A_25_P00011234	5.067870807
A_25_P00010096	5.165670003
A_25_P00011030	5.475908973
A_25_P00011031	5.469952237
A_25_P00011033	5.427817653
A_25_P00011032	5.501791944
A_25_P00010593	5.406604783
A_25_P00010592	5.438750599
A_25_P00010591	5.428105286
A_25_P00010590	5.398485715
A_25_P00010833	5.421229184
A_25_P00010834	5.456120253
A_25_P00010831	5.421111919
A_25_P00010832	5.470110578
A_25_P00010249	8.86209146
A_25_P00010247	8.762604851
A_25_P00010248	9.044954732
A_25_P00010246	8.633309714
A_25_P00010826	5.801098282
A_25_P00010825	5.721937398
A_25_P00011019	5.486088658
A_25_P00011020	5.30844556
A_25_P00011021	5.478322602
A_25_P00011123	4.989071596
A_25_P00011641	4.788574026
A_25_P00011124	5.208986286
A_25_P00011640	4.98886407
A_25_P00010912	5.375609716
A_25_P00010911	5.262353708
A_25_P00010910	5.277898858
A_25_P00010913	5.262397215
A_25_P00011415	4.78883908
A_25_P00011967	5.308468547
A_25_P00011966	5.068162096
A_25_P00011414	5.209739344
A_25_P00010663	5.446039324
A_25_P00010661	5.421566908
A_25_P00010664	5.421570377
A_25_P00010662	5.399431256
A_25_P00011271	4.989242089
A_25_P00011949	4.989323275
A_25_P00011950	5.1443095
A_25_P00011948	5.209986299
A_25_P00010403	10.38439976
A_25_P00010402	11.51720672
A_25_P00010404	9.829666662
A_25_P00010401	12.14709522
A_25_P00011943	5.35426266
A_25_P00011944	5.308628743
A_25_P00011255	5.21009166
A_25_P00011256	5.166075474
A_25_P00010373	5.354228897
A_25_P00010372	5.492457437
A_25_P00010371	5.439430093
A_25_P00011383	5.018663115
A_25_P00011621	5.068558667
A_25_P00011381	5.144703754
A_25_P00011380	4.989684573
A_25_P00011338	5.068620618
A_25_P00011335	5.094730479
A_25_P00011337	4.989791544
A_25_P00011336	5.145117099
A_25_P00011363	4.917713339
A_25_P00011362	5.06863537
A_25_P00011616	4.870490685
A_25_P00011361	5.21044338
A_25_P00011404	4.990171641
A_25_P00011403	4.989995615
A_25_P00011405	5.068966946
A_25_P00011624	5.018978617
A_25_P00010991	5.519034872
A_25_P00010992	5.657576772
A_25_P00010994	5.840211558
A_25_P00010993	5.702737347
A_25_P00011963	4.846569225
A_25_P00010781	5.166579199
A_25_P00011962	4.990477028
A_25_P00011400	5.069093644
A_25_P00011371	4.846817229
A_25_P00011368	5.166643053
A_25_P00011370	5.26304295
A_25_P00011369	4.846992577
A_25_P00010223	5.611087094
A_25_P00010224	5.612224168
A_25_P00010225	5.813957709
A_25_P00011373	5.01951712
A_25_P00011372	4.990613854
A_25_P00011375	5.069319139
A_25_P00011374	4.990791327
A_25_P00010918	5.439657152
A_25_P00010917	5.661702829
A_25_P00010919	5.392554483
A_25_P00011329	4.919290314
A_25_P00011330	4.918823701
A_25_P00011606	4.991176541
A_25_P00011327	5.145793796
A_25_P00011977	6.036886971
A_25_P00011467	5.510548081
A_25_P00011082	6.336428816
A_25_P00011976	6.332494697
A_25_P00011450	4.847203263
A_25_P00010938	5.146054306
A_25_P00011452	4.87136096
A_25_P00011451	5.070131084
A_25_P00011961	5.440062762
A_25_P00011392	5.345517068
A_25_P00011960	5.690627756
A_25_P00010760	5.703340421
A_25_P00011229	4.920292759
A_25_P00010021	5.070273018
A_25_P00011228	4.991630084
A_25_P00011227	4.991452354
A_25_P00010380	5.070854123
A_25_P00011615	5.071133466
A_25_P00011357	4.920570059
A_25_P00011358	4.992633874
A_25_P00011359	5.071279782
A_25_P00011265	4.993174211
A_25_P00011946	5.502655212
A_25_P00011947	5.095478608
A_25_P00011945	5.263528956
A_25_P00011100	5.99838528
A_25_P00011099	6.067100258
A_25_P00011098	5.759918214
A_25_P00010461	5.350022258
A_25_P00010460	5.671151274
A_25_P00010459	6.14824382
A_25_P00011951	5.071616806
A_25_P00011953	5.146846267
A_25_P00011275	5.212079119
A_25_P00011952	5.147010358
A_25_P00010666	5.740588471
A_25_P00010667	5.708355591
A_25_P00010665	5.661877411
A_25_P00010668	5.678945048
A_25_P00010799	8.615756484
A_25_P00010798	9.234924504
A_25_P00010800	7.648225475
A_25_P00011971	5.26391432
A_25_P00011970	5.212081266
A_25_P00011432	5.23066243
A_25_P00011433	4.650877712
A_25_P00011270	8.439190432
A_25_P00011269	8.785394426
A_25_P00011590	7.735868888
A_25_P00011267	8.161348674
A_25_P00011608	5.019894012
A_25_P00011611	4.994034379
A_25_P00011609	5.167468989
A_25_P00011610	4.993820865
A_25_P00010458	5.519495686
A_25_P00010457	5.605978712
A_25_P00011429	5.375824091
A_25_P00011430	5.071863729
A_25_P00011968	5.399944032
A_25_P00011969	5.309634354
A_25_P00010520	8.87162434
A_25_P00011959	8.132071594
A_25_P00011342	7.608909738
A_25_P00011341	7.198336401
A_25_P00011965	5.998560028
A_25_P00011964	5.856973553
A_25_P00011411	5.612937197
A_25_P00011410	5.703596375
A_25_P00011300	4.944653096
A_25_P00011302	4.921966872
A_25_P00011299	4.944955673
A_25_P00011301	4.92161477
A_25_P00011348	4.99472264
A_25_P00011347	4.773487994
A_25_P00011345	4.790662224
A_25_P00011346	5.148133606
A_25_P00011972	9.633030902
A_25_P00011973	9.091261729
A_25_P00011438	7.077017358
A_25_P00011437	8.877762198
A_25_P00011956	7.723867008
A_25_P00011314	7.29007543
A_25_P00011315	7.113508129
A_25_P00011957	8.041050514
A_25_P00011230	5.376397195
A_25_P00011231	5.399985115
A_25_P00011233	5.310017565
A_25_P00011232	5.709112645
A_25_P00011955	5.476531945
A_25_P00011305	5.322942249
A_25_P00011954	5.690799297
A_25_P00011306	5.072446823
A_25_P00011978	5.52023105
A_25_P00011477	5.502893772
A_25_P00011476	5.476544374
A_25_P00011979	5.503197148
A_25_P00011440	8.885454355
A_25_P00011974	9.073923237
A_25_P00011441	7.91979725
A_25_P00011975	9.015315214
A_25_P00011244	5.167528036
A_25_P00011247	4.945328477
A_25_P00011245	5.072666314
A_25_P00011246	5.072851856
A_25_P00011001	5.14818717
A_25_P00011002	5.212424929
A_25_P00011003	5.14275594
A_25_P00010315	5.148241535
A_25_P00010318	4.872387289
A_25_P00010317	5.148268715
A_25_P00010316	5.095645631
A_25_P00010512	7.952186983
A_25_P00010513	7.056786935
A_25_P00010511	8.965889139
A_25_P00010729	5.376532936
A_25_P00010730	5.222116418
A_25_P00010728	5.630246879
A_25_P00010611	6.080290039
A_25_P00010610	7.420029475
A_25_P00011085	5.034500464
A_25_P00011086	5.431776761
A_25_P00010735	4.995663839
A_25_P00010734	5.073691461
A_25_P00010047	6.656821999
A_25_P00010048	5.673176921
A_25_P00010471	8.008230611
A_25_P00010472	6.822029807
A_25_P00010473	5.799466021
A_25_P00010596	6.200385999
A_25_P00010597	6.850894906
A_25_P00011799	7.046098541
A_25_P00011796	6.667623341
A_25_P00011798	6.831704773
A_25_P00011797	7.127805238
hur_1_20	16.37007156
hur_1_19	16.62154645
hur_1_22	16.2319362
hur_1_21	16.34894081
hur_2_21	16.20359031
hur_2_19	16.44080411
hur_2_20	16.45585119
hur_2_22	16.27532938
hur_4_27	12.79099188
hur_4_29	13.73201827
hur_4_26	10.97921276
hur_4_28	14.120802
hur_5_24	6.88035723
hur_5_23	7.21462909
hur_5_22	7.281312897
hur_5_25	6.951973533
hur_6_28	14.8260804
hur_6_29	16.30930222
hur_6_27	14.62690358
A_25_P00011826	7.893788117
A_25_P00011824	5.44106852
A_25_P00011827	6.013237827
A_25_P00011825	9.038505211
A_25_P00011814	6.259530195
A_25_P00011812	8.060095831
A_25_P00011816	5.642064464
A_25_P00011818	5.310589033
A_25_P00011815	6.198795215
A_25_P00011819	5.323299048
A_25_P00011813	8.077236975
A_25_P00011817	5.630711846
A_25_P00011867	6.104751203
A_25_P00011866	6.183667468
A_25_P00011864	5.691349674
A_25_P00011865	6.44826691
A_25_P00011756	5.07381667
A_25_P00011759	4.945685208
A_25_P00011758	4.850351023
A_25_P00011757	5.231080134
A_25_P00011713	6.046853956
A_25_P00011712	6.533712161
A_25_P00011715	5.310792809
A_25_P00011714	5.704442028
A_25_P00011755	6.402100434
A_25_P00011754	8.915065971
A_25_P00011753	10.76582611
A_25_P00011752	7.851210912
A_25_P00011890	4.995959671
A_25_P00011891	5.095743777
A_25_P00011889	5.020852923
A_25_P00011888	5.323387717
A_25_P00011859	7.392558371
A_25_P00011857	9.944869477
A_25_P00011858	8.381970404
A_25_P00011856	9.488986145
A_25_P00011738	6.23915107
A_25_P00011737	6.001532323
A_25_P00011739	5.148819758
A_25_P00011736	5.709848522
A_25_P00011734	4.851116654
A_25_P00011732	5.020931522
A_25_P00011735	4.850682443
A_25_P00011733	5.213592863
A_25_P00011787	5.264834066
A_25_P00011786	5.520292186
A_25_P00011785	5.755111378
A_25_P00011784	5.978837872
A_25_P00011722	5.45741676
A_25_P00011721	6.149298334
A_25_P00011723	5.278745035
A_25_P00011720	6.013844968
A_25_P00011693	5.825557997
A_25_P00011692	5.663037714
A_25_P00011694	5.705366755
A_25_P00011695	5.565319327
A_25_P00011764	5.45745908
A_25_P00011766	6.015469226
A_25_P00011767	5.546778915
A_25_P00011765	7.27044836
A_25_P00011892	4.996574634
A_25_P00011894	4.922643756
A_25_P00011893	5.074032411
A_25_P00011895	5.149328577
A_25_P00011699	4.922764342
A_25_P00011697	5.866791518
A_25_P00011696	6.560836446
A_25_P00011698	5.311173634
miRNABrightCorner30	7.233197721
mr_1_20	11.20641139
mr_1_21	11.57297665
mr_1_22	11.70414567
mr_1_23	11.76605079
!sample_table_end
^SAMPLE = GSM410664
!Sample_title = AIDS_KS-biopsy-patient7-repB
!Sample_geo_accession = GSM410664
!Sample_status = Public on Sep 30 2009
!Sample_submission_date = May 31 2009
!Sample_last_update_date = Aug 24 2009
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = AIDS KS lesion biopsy
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = gender: male
!Sample_characteristics_ch1 = tissue: Kaposi sarcoma lesion
!Sample_characteristics_ch1 = patient_replicate: 7
!Sample_characteristics_ch1 = technical_replicate: B
